N_City,Capital,Region,SubRegion,Time_Zone
Afghanistan,Kabul,Asia,Southern Asia,['UTC+04:30']
Åland Islands,Mariehamn,Europe,Northern Europe,['UTC+02:00']
Albania,Tirana,Europe,Southern Europe,['UTC+01:00']
Algeria,Algiers,Africa,Northern Africa,['UTC+01:00']
American Samoa,Pago Pago,Oceania,Polynesia,['UTC-11:00']
Andorra,Andorra la Vella,Europe,Southern Europe,['UTC+01:00']
Angola,Luanda,Africa,Middle Africa,['UTC+01:00']
Anguilla,The Valley,Americas,Caribbean,['UTC-04:00']
Antarctica,,Polar,,"['UTC-03:00', 'UTC+03:00', 'UTC+05:00', 'UTC+06:00', 'UTC+07:00', 'UTC+08:00', 'UTC+10:00', 'UTC+12:00']"
Antigua and Barbuda,Saint John's,Americas,Caribbean,['UTC-04:00']
Argentina,Buenos Aires,Americas,South America,['UTC-03:00']
Armenia,Yerevan,Asia,Western Asia,['UTC+04:00']
Aruba,Oranjestad,Americas,Caribbean,['UTC-04:00']
Australia,Canberra,Oceania,Australia and New Zealand,"['UTC+05:00', 'UTC+06:30', 'UTC+07:00', 'UTC+08:00', 'UTC+09:30', 'UTC+10:00', 'UTC+10:30', 'UTC+11:30']"
Austria,Vienna,Europe,Western Europe,['UTC+01:00']
Azerbaijan,Baku,Asia,Western Asia,['UTC+04:00']
Bahamas,Nassau,Americas,Caribbean,['UTC-05:00']
Bahrain,Manama,Asia,Western Asia,['UTC+03:00']
Bangladesh,Dhaka,Asia,Southern Asia,['UTC+06:00']
Barbados,Bridgetown,Americas,Caribbean,['UTC-04:00']
Belarus,Minsk,Europe,Eastern Europe,['UTC+03:00']
Belgium,Brussels,Europe,Western Europe,['UTC+01:00']
Belize,Belmopan,Americas,Central America,['UTC-06:00']
Benin,Porto-Novo,Africa,Western Africa,['UTC+01:00']
Bermuda,Hamilton,Americas,Northern America,['UTC-04:00']
Bhutan,Thimphu,Asia,Southern Asia,['UTC+06:00']
Bolivia (Plurinational State of),Sucre,Americas,South America,['UTC-04:00']
"Bonaire, Sint Eustatius and Saba",Kralendijk,Americas,Caribbean,['UTC-04:00']
Bosnia and Herzegovina,Sarajevo,Europe,Southern Europe,['UTC+01:00']
Botswana,Gaborone,Africa,Southern Africa,['UTC+02:00']
Bouvet Island,,,,['UTC+01:00']
Brazil,Brasília,Americas,South America,"['UTC-05:00', 'UTC-04:00', 'UTC-03:00', 'UTC-02:00']"
British Indian Ocean Territory,Diego Garcia,Africa,Eastern Africa,['UTC+06:00']
United States Minor Outlying Islands,,Americas,Northern America,"['UTC-11:00', 'UTC-10:00', 'UTC+12:00']"
Virgin Islands (British),Road Town,Americas,Caribbean,['UTC-04:00']
Virgin Islands (U.S.),Charlotte Amalie,Americas,Caribbean,['UTC-04:00']
Brunei Darussalam,Bandar Seri Begawan,Asia,South-Eastern Asia,['UTC+08:00']
Bulgaria,Sofia,Europe,Eastern Europe,['UTC+02:00']
Burkina Faso,Ouagadougou,Africa,Western Africa,['UTC']
Burundi,Bujumbura,Africa,Eastern Africa,['UTC+02:00']
Cambodia,Phnom Penh,Asia,South-Eastern Asia,['UTC+07:00']
Cameroon,Yaoundé,Africa,Middle Africa,['UTC+01:00']
Canada,Ottawa,Americas,Northern America,"['UTC-08:00', 'UTC-07:00', 'UTC-06:00', 'UTC-05:00', 'UTC-04:00', 'UTC-03:30']"
Cabo Verde,Praia,Africa,Western Africa,['UTC-01:00']
Cayman Islands,George Town,Americas,Caribbean,['UTC-05:00']
Central African Republic,Bangui,Africa,Middle Africa,['UTC+01:00']
Chad,N'Djamena,Africa,Middle Africa,['UTC+01:00']
Chile,Santiago,Americas,South America,"['UTC-06:00', 'UTC-04:00']"
China,Beijing,Asia,Eastern Asia,['UTC+08:00']
Christmas Island,Flying Fish Cove,Oceania,Australia and New Zealand,['UTC+07:00']
Cocos (Keeling) Islands,West Island,Oceania,Australia and New Zealand,['UTC+06:30']
Colombia,Bogotá,Americas,South America,['UTC-05:00']
Comoros,Moroni,Africa,Eastern Africa,['UTC+03:00']
Congo,Brazzaville,Africa,Middle Africa,['UTC+01:00']
Congo (Democratic Republic of the),Kinshasa,Africa,Middle Africa,"['UTC+01:00', 'UTC+02:00']"
Cook Islands,Avarua,Oceania,Polynesia,['UTC-10:00']
Costa Rica,San José,Americas,Central America,['UTC-06:00']
Croatia,Zagreb,Europe,Southern Europe,['UTC+01:00']
Cuba,Havana,Americas,Caribbean,['UTC-05:00']
Curaçao,Willemstad,Americas,Caribbean,['UTC-04:00']
Cyprus,Nicosia,Europe,Southern Europe,['UTC+02:00']
Czech Republic,Prague,Europe,Eastern Europe,['UTC+01:00']
Denmark,Copenhagen,Europe,Northern Europe,"['UTC-04:00', 'UTC-03:00', 'UTC-01:00', 'UTC', 'UTC+01:00']"
Djibouti,Djibouti,Africa,Eastern Africa,['UTC+03:00']
Dominica,Roseau,Americas,Caribbean,['UTC-04:00']
Dominican Republic,Santo Domingo,Americas,Caribbean,['UTC-04:00']
Ecuador,Quito,Americas,South America,"['UTC-06:00', 'UTC-05:00']"
Egypt,Cairo,Africa,Northern Africa,['UTC+02:00']
El Salvador,San Salvador,Americas,Central America,['UTC-06:00']
Equatorial Guinea,Malabo,Africa,Middle Africa,['UTC+01:00']
Eritrea,Asmara,Africa,Eastern Africa,['UTC+03:00']
Estonia,Tallinn,Europe,Northern Europe,['UTC+02:00']
Ethiopia,Addis Ababa,Africa,Eastern Africa,['UTC+03:00']
Falkland Islands (Malvinas),Stanley,Americas,South America,['UTC-04:00']
Faroe Islands,Tórshavn,Europe,Northern Europe,['UTC+00:00']
Fiji,Suva,Oceania,Melanesia,['UTC+12:00']
Finland,Helsinki,Europe,Northern Europe,['UTC+02:00']
France,Paris,Europe,Western Europe,"['UTC-10:00', 'UTC-09:30', 'UTC-09:00', 'UTC-08:00', 'UTC-04:00', 'UTC-03:00', 'UTC+01:00', 'UTC+03:00', 'UTC+04:00', 'UTC+05:00', 'UTC+11:00', 'UTC+12:00']"
French Guiana,Cayenne,Americas,South America,['UTC-03:00']
